date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, HDD, CDD, Precipitation, Snowfall, SnowDepth
2024-12-06, 40, 28, 34.0, -9.8, 31, 0, 0.00, 0.0, 0
2024-12-07, 45, 27, 36.0, -7.6, 29, 0, 0.00, 0.0, 0
2024-12-08, 69, 40, 54.5, 11.2, 10, 0, 0.00, 0.0, 0
2024-12-09, 58, 38, 48.0, 4.9, 17, 0, 0.05, 0.0, 0
2024-12-10, 54, 40, 47.0, 4.1, 18, 0, 0.05, 0.0, 0
2024-12-11, 64, 38, 51.0, 8.4, 14, 0, 0.90, 0.0, 0
2024-12-12, 48, 33, 40.5, -1.9, 24, 0, 0.00, 0.0, 0
2024-12-13, 41, 30, 35.5, -6.7, 29, 0, 0.00, 0.0, M
2024-12-14, 43, 30, 36.5, -5.4, 28, 0, 0.00, 0.0, 0
2024-12-15, 43, 33, 38.0, -3.7, 27, 0, 0.26, 0.0, 0
2024-12-16, 48, 41, 44.5, 3.0, 20, 0, 0.42, 0.0, 0
2024-12-17, 65, 44, 54.5, 13.2, 10, 0, T, 0.0, 0
2024-12-18, 57, 38, 47.5, 6.4, 17, 0, 0.10, 0.0, 0
2024-12-19, 50, 39, 44.5, 3.6, 20, 0, 0.00, 0.0, 0
2024-12-20, 40, 36, 38.0, -2.7, 27, 0, 0.02, T, 0
2024-12-21, M, M, M, M, M, M, M, M, M
